USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1 47.8  0.8  15152  7792 ?        Rs   01:44   0:03 /sbin/init splash
avahi      391  0.0  0.0   5772   252 ?        S    01:44   0:00 avahi-daemon: chroot helper
root       401  0.0  0.0      0     0 ?        I    01:44   0:00 [kworker/u8:3-events_unbound]
root       410  0.0  0.0   1940   412 ?        Ss   01:44   0:00 /bin/sh /sbin/dphys-swapfile swapon
root       412  0.0  0.1   1940  1328 ?        S    01:44   0:00 /bin/sh /lib/dhcpcd/dhcpcd-run-hooks
root       415  0.0  0.0   8568   832 ?        R    01:44   0:00 swapon /var/swap
pi         420  0.0  0.0   1940   376 ?        Ss   01:44   0:00 /bin/sh -c /bin/bash /home/pi/Downloads/command_executer.sh > /home/pi/Downloads/cron_log.txt 2>&1
pi         421  0.0  0.2   7676  2544 ?        S    01:44   0:00 /bin/bash /home/pi/Downloads/command_executer.sh
root       425  0.0  0.0   2364   516 ?        S    01:44   0:00 plymouth --ping
root       429  0.0  0.2   7676  2548 ?        S    01:44   0:00 /bin/bash /home/pi/Downloads/command_executer.sh
root       439  0.0  0.4  10700  4412 ?        D    01:44   0:00 wpa_supplicant -B -c/etc/wpa_supplicant/wpa_supplicant.conf -iwlan0 -Dnl80211,wext
pi         440  0.0  0.2   9788  2480 ?        R    01:44   0:00 ps -aux
root       441  0.0  0.2   9788  2500 ?        R    01:44   0:00 ps -aux
